name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015
91 Aquarii b,144,3.2 Jupiters,4.25,2013
AB Pictoris b,163,13.5 Jupiters,9.128,2005
Alpha Arietis b,66,1.8 Jupiters,2,2010
Alpha Tauri b,67,6.47 Jupiters,0.85,2015
AU Microscopii b,32,0.18 Jupiters,8.81,2020
BD+03 2562 b,8540,6.4 Jupiters,9.58,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.88,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201170410.02,437,1.15 Earths,16.439,2020
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201170410.02,437,1.15 Earths,16.439,2020
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
